Id,Word,Value
1908,unveil,0111 0111 0100
1909,update,0111 0111 0101
1910,upgrade,0111 0111 0110
1911,uphold,0111 0111 0111
1912,upon,0111 0111 1000
1913,upper,0111 0111 1001
1914,upset,0111 0111 1010
1915,urban,0111 0111 1011
1916,urge,0111 0111 1100
1917,usage,0111 0111 1101
1918,use,0111 0111 1110
1919,used,0111 0111 1111
1920,useful,0111 1000 0000
1921,useless,0111 1000 0001
1922,usual,0111 1000 0010
1923,utility,0111 1000 0011
1924,vacant,0111 1000 0100
1925,vacuum,0111 1000 0101
1926,vague,0111 1000 0110
1927,valid,0111 1000 0111
1928,valley,0111 1000 1000
1929,valve,0111 1000 1001
1930,van,0111 1000 1010
1931,vanish,0111 1000 1011
1932,vapor,0111 1000 1100
1933,various,0111 1000 1101
1934,vast,0111 1000 1110
1935,vault,0111 1000 1111
1936,vehicle,0111 1001 0000
1937,velvet,0111 1001 0001
1938,vendor,0111 1001 0010
1939,venture,0111 1001 0011
1940,venue,0111 1001 0100
1941,verb,0111 1001 0101
1942,verify,0111 1001 0110
1943,version,0111 1001 0111
1944,very,0111 1001 1000
1945,vessel,0111 1001 1001
1946,veteran,0111 1001 1010
1947,viable,0111 1001 1011
1948,vibrant,0111 1001 1100
1949,vicious,0111 1001 1101
1950,victory,0111 1001 1110
1951,video,0111 1001 1111
1952,view,0111 1010 0000
1953,village,0111 1010 0001
1954,vintage,0111 1010 0010
1955,violin,0111 1010 0011
1956,virtual,0111 1010 0100
1957,virus,0111 1010 0101
1958,visa,0111 1010 0110
1959,visit,0111 1010 0111
1960,visual,0111 1010 1000
1961,vital,0111 1010 1001
1962,vivid,0111 1010 1010
1963,vocal,0111 1010 1011
1964,voice,0111 1010 1100
1965,void,0111 1010 1101
1966,volcano,0111 1010 1110
1967,volume,0111 1010 1111
1968,vote,0111 1011 0000
1969,voyage,0111 1011 0001
1970,wage,0111 1011 0010
1971,wagon,0111 1011 0011
1972,wait,0111 1011 0100
1973,walk,0111 1011 0101
1974,wall,0111 1011 0110
1975,walnut,0111 1011 0111
1976,want,0111 1011 1000
1977,warfare,0111 1011 1001
1978,warm,0111 1011 1010
1979,warrior,0111 1011 1011
1980,wash,0111 1011 1100
1981,wasp,0111 1011 1101
1982,waste,0111 1011 1110
1983,water,0111 1011 1111
1984,wave,0111 1100 0000
1985,way,0111 1100 0001
1986,wealth,0111 1100 0010
1987,weapon,0111 1100 0011
1988,wear,0111 1100 0100
1989,weasel,0111 1100 0101
1990,weather,0111 1100 0110
1991,web,0111 1100 0111
1992,wedding,0111 1100 1000
1993,weekend,0111 1100 1001
1994,weird,0111 1100 1010
1995,welcome,0111 1100 1011
1996,west,0111 1100 1100
1997,wet,0111 1100 1101
1998,whale,0111 1100 1110
1999,what,0111 1100 1111
2000,wheat,0111 1101 0000
2001,wheel,0111 1101 0001
2002,when,0111 1101 0010
2003,where,0111 1101 0011
2004,whip,0111 1101 0100
2005,whisper,0111 1101 0101
2006,wide,0111 1101 0110
2007,width,0111 1101 0111
2008,wife,0111 1101 1000
2009,wild,0111 1101 1001
2010,will,0111 1101 1010
2011,win,0111 1101 1011
2012,window,0111 1101 1100
2013,wine,0111 1101 1101
2014,wing,0111 1101 1110
2015,wink,0111 1101 1111
2016,winner,0111 1110 0000
2017,winter,0111 1110 0001
2018,wire,0111 1110 0010
2019,wisdom,0111 1110 0011
2020,wise,0111 1110 0100
2021,wish,0111 1110 0101
2022,witness,0111 1110 0110
2023,wolf,0111 1110 0111
2024,woman,0111 1110 1000
2025,wonder,0111 1110 1001
2026,wood,0111 1110 1010
2027,wool,0111 1110 1011
2028,word,0111 1110 1100
2029,work,0111 1110 1101
2030,world,0111 1110 1110
2031,worry,0111 1110 1111
2032,worth,0111 1111 0000
2033,wrap,0111 1111 0001
2034,wreck,0111 1111 0010
2035,wrestle,0111 1111 0011
2036,wrist,0111 1111 0100
2037,write,0111 1111 0101
2038,wrong,0111 1111 0110
2039,yard,0111 1111 0111
2040,year,0111 1111 1000
2041,yellow,0111 1111 1001
2042,you,0111 1111 1010
2043,young,0111 1111 1011
2044,youth,0111 1111 1100
2045,zebra,0111 1111 1101
2046,zero,0111 1111 1110
2047,zone,0111 1111 1111
2048,zoo,1000 0000 0000
